,source,AU_value,CF_contribution,ED_purchaseValue,SP_value,Votes,mentions,betweenness,percentage_votes_used,created,unique_contributed,votes_before,did_bid,total_contributions,did_contribute,did_create,actual_airdrop
1208,0x2bc2ca2a7b3e6edef35223a211ac3b0b9b8d4346,0.0,0.1,0.1559,0.0,0.0,2.0,0.0,0.0,0.0,0.08,10,0,0.2559,0.15,0.0,0.0030708000000000003
1209,0x2bd5d2e3d5852ad9960638083cb7c9f493e7a597,0.0,0.15,0.02,0.0,14970.0,0.0,0.0021997912671077,0.9894249834765368,14.0,0.2,1190,0,0.16999999999999998,0.15,0.65,2.0340733353587286
1210,0x2bee1a23473d3c57eff1e5467c3e93ddadcc541d,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.1666666666666666,0.0,0.0,20,0,0.0,0.0,0.0,0.0033333333333333322
1211,0x2bf04a0e91d3de1618ee9f126a55da52c735d0f5,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,10,0,0.0,0.0,0.0,0.0
1212,0x2bfec5f4b7596720aeb203075bfc7d1153214f0c,0.0,0.0,0.1559,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0,0,0.1559,0.15,0.0,0.0009354
1213,0x2c248a9febc662d77aa4b19f0a7341b70578a282,0.0,0.0,0.0,0.0,60.0,2.0,0.0,0.6666666666666666,0.0,0.0,30,0,0.0,0.0,0.0,0.019999999999999997
1214,0x2c35a970a19b943bed591d55204034d8672de7ac,0.0,0.25,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.04,10,0,0.25,0.15,0.0,0.0015
1215,0x2c66458182351936243ea178c0cd237e37272831,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0,0.0,0.04,0,0,0.0025,0.15,0.0,1.5e-05
1216,0x2c6c7e1e45442c23e942947d99c03b8b8389b37f,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.1111111111111111,0.0,0.0,20,0,0.0,0.0,0.0,0.0022222222222222222
1217,0x2c71b02df53415cdcf0888bd1c16196b7b66e80e,0.0,0.0,0.0,0.0,0.0,106.0,0.0002366419307418,0.0,0.0,0.0,10,0,0.0,0.0,0.0,0.0
1218,0x2cae467369bd73143eab9ab1be493fee8bf25078,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0526315789473684,0.0,0.0,20,0,0.0,0.0,0.0,0.001052631578947368
1219,0x2cd280e6b9217aa73fa3dfb11106912a66b277a2,0.0,0.0,0.1559,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0,0,0.1559,0.15,0.0,0.0009354
1220,0x2cdf12e6d78a95aa549b69ff8d18d009ef75e7be,0.0,0.0,0.1559,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0,0,0.1559,0.15,0.0,0.0009354
1221,0x2ce07d3a760591933a8e2401ba30eb953b3b763e,0.0,0.0,0.1559,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0,0,0.1559,0.15,0.0,0.0009354
1222,0x2ce6608ea8c9a4207e83f8e581ea686908965fa3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10,0,0.0,0.0,0.0,0.0
1223,0x2d0671c41defe2d03f1d0e867327de79b98823e2,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,10,0,0.42,0.15,0.0,0.00252
